staff_id,staff_name,shift_start,shift_end,section_assigned,tasks_completed,notes
S007,Dr. Maria Gonzalez,2025-10-14T10:00:00Z,2025-10-14T18:00:00Z,A,5,Wellness checks and preventive care
S008,Jake Wilson,2025-10-14T09:00:00Z,2025-10-14T17:00:00Z,B,7,Behavioral training and socialization
S009,Amanda Foster,2025-10-14T16:00:00Z,2025-10-15T00:00:00Z,C,4,Light night duty
S010,Carlos Martinez,2025-10-14T22:00:00Z,2025-10-15T06:00:00Z,A,6,Security rounds and emergency monitoring
S011,Jessica Lee,2025-10-14T09:00:00Z,2025-10-14T17:00:00Z,B,8,Adoption events and public relations
S012,Tom Brady,2025-10-14T11:00:00Z,2025-10-14T19:00:00Z,C,5,Weekend support staff
S013,Rachel Green,2025-10-14T07:00:00Z,2025-10-14T15:00:00Z,A,13,Senior caretaker supervising new staff
S001,Sarah Johnson,2025-10-13T06:00:00Z,2025-10-13T14:00:00Z,A,14,High activity day with multiple walks
S002,Mike Chen,2025-10-13T06:30:00Z,2025-10-13T14:30:00Z,B,11,Special dietary requirements management
S003,Emily Rodriguez,2025-10-13T07:00:00Z,2025-10-13T15:00:00Z,C,9,Grooming backlog catch-up
S004,David Thompson,2025-10-13T14:00:00Z,2025-10-13T22:00:00Z,A,12,Deep cleaning and maintenance tasks
S005,Lisa Park,2025-10-13T14:30:00Z,2025-10-13T22:30:00Z,B,15,Busy medical day with treatments
S006,Robert Kim,2025-10-13T15:00:00Z,2025-10-13T23:00:00Z,C,8,Enrichment activities and exercise
S007,Dr. Maria Gonzalez,2025-10-13T07:00:00Z,2025-10-13T15:00:00Z,A,7,Weekly health assessments
S008,Jake Wilson,2025-10-13T11:00:00Z,2025-10-13T19:00:00Z,B,10,Training workshop for difficult cases
S009,Amanda Foster,2025-10-13T16:00:00Z,2025-10-14T00:00:00Z,C,7,Night shift with sick animal care
S010,Carlos Martinez,2025-10-13T22:00:00Z,2025-10-14T06:00:00Z,B,9,Security and emergency response
S011,Jessica Lee,2025-10-13T08:00:00Z,2025-10-13T16:00:00Z,A,6,Community outreach and adoption events
S012,Tom Brady,2025-10-13T13:00:00Z,2025-10-13T21:00:00Z,C,8,Weekend volunteer coordination
S013,Rachel Green,2025-10-13T06:30:00Z,2025-10-13T14:30:00Z,B,16,Supervising and training new volunteers
S014,Alex Morgan,2025-10-13T08:00:00Z,2025-10-13T12:00:00Z,A,4,Part-time student intern
S001,Sarah Johnson,2025-10-12T06:00:00Z,2025-10-12T14:00:00Z,A,13,Regular morning duties with extra walks
S002,Mike Chen,2025-10-12T06:30:00Z,2025-10-12T14:30:00Z,B,10,Feeding schedule management
S003,Emily Rodriguez,2025-10-12T07:00:00Z,2025-10-12T15:00:00Z,C,12,Adoption preparation grooming
S004,David Thompson,2025-10-12T14:00:00Z,2025-10-12T22:00:00Z,A,7,Maintenance and repair work
S005,Lisa Park,2025-10-12T14:30:00Z,2025-10-12T22:30:00Z,B,11,Medical administration and monitoring
S006,Robert Kim,2025-10-12T15:00:00Z,2025-10-12T23:00:00Z,C,9,Exercise and behavioral enrichment
S007,Dr. Maria Gonzalez,2025-10-12T09:00:00Z,2025-10-12T17:00:00Z,A,6,Routine veterinary care
S008,Jake Wilson,2025-10-12T10:00:00Z,2025-10-12T18:00:00Z,B,9,Advanced training sessions
S009,Amanda Foster,2025-10-12T16:00:00Z,2025-10-13T00:00:00Z,C,5,Weekend night monitoring
S010,Carlos Martinez,2025-10-12T22:00:00Z,2025-10-13T06:00:00Z,A,8,Night security and health checks
