staff_id,staff_name,shift_start,shift_end,section_assigned,tasks_completed,notes,shift_duration_hours,shift_type,tasks_per_hour
S002,Mike Chen,2025-10-14 06:30:00+00:00,2025-10-14 14:30:00+00:00,B,9,Feeding and basic care tasks,8.0,morning,1.125
S003,Emily Rodriguez,2025-10-14 07:00:00+00:00,2025-10-14 15:00:00+00:00,C,10,Grooming and hygiene maintenance,8.0,morning,1.25
S004,David Thompson,2025-10-14 14:00:00+00:00,2025-10-14 22:00:00+00:00,A,8,Afternoon care and cleaning duties,8.0,afternoon,1.0
S005,Lisa Park,2025-10-14 14:30:00+00:00,2025-10-14 22:30:00+00:00,B,12,Medical care and health monitoring,8.0,afternoon,1.5
S006,Robert Kim,2025-10-14 15:00:00+00:00,2025-10-14 23:00:00+00:00,C,6,Exercise and recreation programs,8.0,afternoon,0.75
S007,Dr. Maria Gonzalez,2025-10-14 10:00:00+00:00,2025-10-14 18:00:00+00:00,A,5,Wellness checks and preventive care,8.0,morning,0.625
S008,Jake Wilson,2025-10-14 09:00:00+00:00,2025-10-14 17:00:00+00:00,B,7,Behavioral training and socialization,8.0,morning,0.875
S009,Amanda Foster,2025-10-14 16:00:00+00:00,2025-10-15 00:00:00+00:00,C,4,Light night duty,8.0,afternoon,0.5
S010,Carlos Martinez,2025-10-14 22:00:00+00:00,2025-10-15 06:00:00+00:00,A,6,Security rounds and emergency monitoring,8.0,night,0.75
S011,Jessica Lee,2025-10-14 09:00:00+00:00,2025-10-14 17:00:00+00:00,B,8,Adoption events and public relations,8.0,morning,1.0
S012,Tom Brady,2025-10-14 11:00:00+00:00,2025-10-14 19:00:00+00:00,C,5,Weekend support staff,8.0,morning,0.625
S013,Rachel Green,2025-10-14 07:00:00+00:00,2025-10-14 15:00:00+00:00,A,13,Senior caretaker supervising new staff,8.0,morning,1.625
S001,Sarah Johnson,2025-10-13 06:00:00+00:00,2025-10-13 14:00:00+00:00,A,14,High activity day with multiple walks,8.0,morning,1.75
S002,Mike Chen,2025-10-13 06:30:00+00:00,2025-10-13 14:30:00+00:00,B,11,Special dietary requirements management,8.0,morning,1.375
S003,Emily Rodriguez,2025-10-13 07:00:00+00:00,2025-10-13 15:00:00+00:00,C,9,Grooming backlog catch-up,8.0,morning,1.125
S004,David Thompson,2025-10-13 14:00:00+00:00,2025-10-13 22:00:00+00:00,A,12,Deep cleaning and maintenance tasks,8.0,afternoon,1.5
S005,Lisa Park,2025-10-13 14:30:00+00:00,2025-10-13 22:30:00+00:00,B,15,Busy medical day with treatments,8.0,afternoon,1.875
S006,Robert Kim,2025-10-13 15:00:00+00:00,2025-10-13 23:00:00+00:00,C,8,Enrichment activities and exercise,8.0,afternoon,1.0
S007,Dr. Maria Gonzalez,2025-10-13 07:00:00+00:00,2025-10-13 15:00:00+00:00,A,7,Weekly health assessments,8.0,morning,0.875
S008,Jake Wilson,2025-10-13 11:00:00+00:00,2025-10-13 19:00:00+00:00,B,10,Training workshop for difficult cases,8.0,morning,1.25
S009,Amanda Foster,2025-10-13 16:00:00+00:00,2025-10-14 00:00:00+00:00,C,7,Night shift with sick animal care,8.0,afternoon,0.875
S010,Carlos Martinez,2025-10-13 22:00:00+00:00,2025-10-14 06:00:00+00:00,B,9,Security and emergency response,8.0,night,1.125
S011,Jessica Lee,2025-10-13 08:00:00+00:00,2025-10-13 16:00:00+00:00,A,6,Community outreach and adoption events,8.0,morning,0.75
S012,Tom Brady,2025-10-13 13:00:00+00:00,2025-10-13 21:00:00+00:00,C,8,Weekend volunteer coordination,8.0,morning,1.0
S013,Rachel Green,2025-10-13 06:30:00+00:00,2025-10-13 14:30:00+00:00,B,16,Supervising and training new volunteers,8.0,morning,2.0
S014,Alex Morgan,2025-10-13 08:00:00+00:00,2025-10-13 12:00:00+00:00,A,4,Part-time student intern,4.0,morning,1.0
S001,Sarah Johnson,2025-10-12 06:00:00+00:00,2025-10-12 14:00:00+00:00,A,13,Regular morning duties with extra walks,8.0,morning,1.625
S002,Mike Chen,2025-10-12 06:30:00+00:00,2025-10-12 14:30:00+00:00,B,10,Feeding schedule management,8.0,morning,1.25
S003,Emily Rodriguez,2025-10-12 07:00:00+00:00,2025-10-12 15:00:00+00:00,C,12,Adoption preparation grooming,8.0,morning,1.5
S004,David Thompson,2025-10-12 14:00:00+00:00,2025-10-12 22:00:00+00:00,A,7,Maintenance and repair work,8.0,afternoon,0.875
S005,Lisa Park,2025-10-12 14:30:00+00:00,2025-10-12 22:30:00+00:00,B,11,Medical administration and monitoring,8.0,afternoon,1.375
S006,Robert Kim,2025-10-12 15:00:00+00:00,2025-10-12 23:00:00+00:00,C,9,Exercise and behavioral enrichment,8.0,afternoon,1.125
S007,Dr. Maria Gonzalez,2025-10-12 09:00:00+00:00,2025-10-12 17:00:00+00:00,A,6,Routine veterinary care,8.0,morning,0.75
S008,Jake Wilson,2025-10-12 10:00:00+00:00,2025-10-12 18:00:00+00:00,B,9,Advanced training sessions,8.0,morning,1.125
S009,Amanda Foster,2025-10-12 16:00:00+00:00,2025-10-13 00:00:00+00:00,C,5,Weekend night monitoring,8.0,afternoon,0.625
S010,Carlos Martinez,2025-10-12 22:00:00+00:00,2025-10-13 06:00:00+00:00,A,8,Night security and health checks,8.0,night,1.0
